,,,,,,,,,
,"Prices, Production, and Labor selected indicators",,,,,,,,
,Consumer Prices,,,,,,,,
,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,
,,,,,,,,,
,Country,Scale,Base Year,2017,2018,2019,2020,2021,2022
,"Afghanistan, Islamic Rep. of",Units,2010=100,145.61,146.52,149.90,...,...,...
,Albania,Units,2010=100,115.06,117.39,119.05,120.98,123.45,131.75
,Algeria,Units,2010=100,142.38,148.46,151.36,155.02,166.22,181.62
,Angola,Units,2010=100,271.02,324.22,379.60,464.14,583.68,...
,Anguilla,Units,2010=100,105.86,106.26,107.12,106.61,108.53,...
,Antigua and Barbuda,Units,2010=100,112.45,113.81,115.44,116.16,118.56,127.48
,"Armenia, Rep. of",Units,2010=100,124.21,127.34,129.18,130.74,140.13,152.24
,"Aruba, Kingdom of the Netherlands",Units,2010=100,101.39,105.06,109.53,...,...,...
,Australia,Units,2010=100,115.69,117.90,119.80,120.81,124.27,132.47
,Austria,Units,2010=100,114.00,116.28,118.06,119.69,123.00,133.51
,"Azerbaijan, Rep. of",Units,2010=100,149.51,152.90,156.89,161.22,171.94,195.76
,"Bahamas, The",Units,2010=100,110.88,113.39,116.22,116.26,119.64,126.35
,"Bahrain, Kingdom of",Units,2010=100,115.18,117.59,118.77,116.02,115.32,119.50
,Bangladesh,Units,2010=100,161.23,170.16,179.68,189.91,200.44,215.86
,Barbados,Units,2010=100,124.25,128.81,134.09,...,...,...
,"Belarus, Rep. of",Units,2010=100,459.03,481.39,508.34,536.54,587.30,676.63
,Belgium,Units,2010=100,113.13,115.45,117.11,117.98,120.86,132.46
,Belize,Units,2010=100,105.68,105.96,106.16,106.29,109.73,...
,Benin,Units,2010=100,110.79,111.51,110.72,114.07,116.04,...
,Bhutan,Units,2010=100,158.43,162.75,167.18,176.59,189.57,...
,Bolivia,Units,2010=100,142.40,145.64,148.32,149.71,150.82,153.45
,Bosnia and Herzegovina,Units,2010=100,102.85,104.31,104.90,103.79,105.85,120.69
,Botswana,Units,2010=100,141.14,145.71,149.75,152.58,163.63,182.72
,Brazil,Units,2010=100,155.67,161.37,167.40,172.77,187.12,204.48
,Brunei Darussalam,Units,2010=100,98.41,99.42,99.03,100.95,102.70,106.48
,Bulgaria,Units,2010=100,107.94,110.97,114.42,116.33,120.17,138.58
,Burkina Faso,Units,2010=100,109.83,111.98,108.36,110.40,114.43,130.79
,Burundi,Units,2010=100,188.68,183.37,182.11,195.44,211.87,251.70
,Cabo Verde,Units,2010=100,107.94,109.29,110.50,111.17,113.24,...
,Cambodia,Units,2010=100,124.57,127.63,130.11,133.94,137.85,145.22
,Cameroon,Units,2010=100,114.58,115.81,118.65,121.54,124.30,132.07
,Canada,Units,2010=100,111.98,114.52,116.76,117.59,121.59,129.86
,Central African Rep.,Units,2010=100,145.47,147.82,151.79,154.38,160.96,...
,Chad,Units,2010=100,113.98,118.85,117.70,122.95,122.00,...
,Chile,Units,2010=100,125.57,128.62,131.91,135.93,142.08,158.63
,"China, P.R.: Hong Kong",Units,2010=100,127.80,130.87,134.65,134.99,137.10,139.68
,"China, P.R.: Macao",Units,2010=100,136.10,140.19,144.05,145.21,145.25,146.77
,"China, P.R.: Mainland",Units,2010=100,119.09,121.56,125.08,128.11,129.37,131.92
,Colombia,Units,2010=100,131.88,136.15,140.95,144.51,149.56,164.78
,"Congo, Rep. of",Units,2010=100,120.66,122.05,124.74,126.98,129.16,133.09
,Costa Rica,Units,2010=100,123.46,126.20,128.85,129.78,132.02,142.94
,Côte d'Ivoire,Units,2010=100,112.45,112.86,111.61,114.31,118.99,125.27
,"Croatia, Rep. of",Units,2010=100,107.36,108.97,109.82,109.99,112.80,124.96
,"Curaçao, Kingdom of the Netherlands",Units,2010=100,109.75,112.58,115.53,...,...,...
,Cyprus,Units,2010=100,100.81,102.25,102.51,101.86,104.35,113.11
,Czech Rep.,Units,2010=100,110.87,113.25,116.48,120.16,124.77,143.61
,Denmark,Units,2010=100,108.63,109.52,110.35,110.81,112.86,121.55
,Djibouti,Units,2010=100,116.22,116.39,120.25,122.39,...,...
,Dominica,Units,2010=100,102.85,103.87,105.43,104.67,...,...
,Dominican Rep.,Units,2010=100,125.35,129.82,132.17,137.17,148.48,161.56
,Ecuador,Units,2010=100,124.09,123.81,124.14,123.72,123.89,128.18
,"Egypt, Arab Rep. of",Units,2010=100,231.09,264.38,288.57,303.13,318.94,363.25
,El Salvador,Units,2010=100,109.95,111.14,111.23,110.82,114.66,122.91
,"Equatorial Guinea, Rep. of",Units,2010=100,121.19,122.83,124.35,130.28,...,...
,"Estonia, Rep. of",Units,2010=100,115.46,119.42,122.14,121.60,127.26,151.94
,"Eswatini, Kingdom of",Units,2010=100,155.13,162.60,166.82,...,...,...
,"Ethiopia, The Federal Dem. Rep. of",Units,2010=100,244.65,278.49,322.52,388.17,492.36,...
,"Fiji, Rep. of",Units,2010=100,124.89,129.99,132.30,128.86,129.06,134.90
,Finland,Units,2010=100,110.00,111.19,112.33,112.66,115.13,123.33
,France,Units,2010=100,106.86,108.84,110.05,110.57,112.39,118.26
,Gabon,Units,2010=100,114.25,119.68,122.63,124.29,125.64,130.95
,"Gambia, The",Units,2010=100,151.38,161.26,172.73,182.98,196.46,219.08
,Georgia,Units,2010=100,124.18,127.43,133.61,140.56,154.01,172.34
,Germany,Units,2010=100,109.35,111.25,112.85,113.02,116.48,124.49
,Ghana,Units,2010=100,241.06,259.89,278.45,305.98,336.49,...
,Greece,Units,2010=100,101.06,101.69,101.95,100.68,101.91,111.74
,Grenada,Units,2010=100,106.57,107.43,108.07,107.27,108.58,...
,Guatemala,Units,2010=100,132.84,137.82,142.92,147.52,153.80,164.39
,Guinea,Units,2010=100,218.65,240.14,262.88,290.75,327.37,361.72
,Guinea-Bissau,Units,2010=100,112.01,112.44,112.72,114.00,116.56,127.51
,Guyana,Units,2010=100,112.37,113.82,116.19,117.35,123.25,...
,Haiti,Units,2010=100,159.40,179.29,212.83,261.34,305.36,409.13
,Honduras,Units,2010=100,138.05,144.06,150.34,155.56,162.53,177.30
,Hungary,Units,2010=100,114.45,117.71,121.64,125.69,132.11,151.41
,Iceland,Units,2010=100,121.96,125.23,129.00,132.68,138.57,150.09
,India,Units,2010=100,159.18,165.45,171.62,182.99,192.38,...
,Indonesia,Units,2010=100,142.18,146.73,151.18,154.08,156.48,163.07
,"Iran, Islamic Rep. of",Units,2010=100,333.67,393.78,550.93,719.48,"1,031.66",...
,Iraq,Units,2010=100,119.42,119.86,119.62,120.31,127.57,133.95
,Ireland,Units,2010=100,105.08,105.59,106.58,106.23,108.73,117.22
,Israel,Units,2010=100,106.40,107.27,108.18,107.54,109.14,113.94
,Italy,Units,2010=100,108.71,109.95,110.62,110.47,112.54,121.77
,Jamaica,Units,2010=100,150.75,156.38,162.49,170.98,181.01,199.74
,Japan,Units,2010=100,103.96,104.99,105.48,105.46,105.21,107.84
,Jordan,Units,2010=100,119.33,124.65,125.60,126.02,127.72,133.12
,"Kazakhstan, Rep. of",Units,2010=100,168.95,179.12,188.52,201.28,217.47,...
,Kenya,Units,2010=100,172.43,180.51,189.97,200.23,212.47,...
,Kiribati,Units,2010=100,101.82,102.39,100.53,...,...,...
,"Korea, Rep. of",Units,2010=100,113.05,114.72,115.16,115.78,118.67,124.71
,"Kosovo, Rep. of",Units,2010=100,113.79,114.99,118.07,118.30,122.27,136.43
,Kuwait,Units,2010=100,124.56,125.23,126.60,129.26,133.69,...
,Kyrgyz Rep.,Units,2010=100,151.59,153.93,155.68,165.52,185.23,...
,Lao People's Dem. Rep.,Units,2010=100,128.87,131.50,135.87,142.80,148.16,182.18
,Latvia,Units,2010=100,110.85,113.66,116.86,117.11,120.95,141.89
,Lebanon,Units,2010=100,119.00,126.23,130.02,240.37,612.36,...
,"Lesotho, Kingdom of",Units,2010=100,141.45,148.17,155.86,163.62,173.51,187.86
,Liberia,Units,2010=100,180.58,223.13,...,...,...,...
,Lithuania,Units,2010=100,112.64,115.68,118.38,119.80,125.41,150.13
,Luxembourg,Units,2010=100,111.41,113.12,115.09,116.03,118.96,126.50
,"Madagascar, Rep. of",Units,2010=100,160.71,174.52,184.31,192.06,203.22,...
,Malawi,Units,2010=100,340.24,382.50,418.34,454.43,...,...
,Malaysia,Units,2010=100,119.61,120.66,121.46,120.08,123.05,127.21
,Maldives,Units,2010=100,136.45,136.26,136.56,134.69,135.42,138.58
,Mali,Units,2010=100,110.23,110.56,108.73,109.20,113.49,...
,Malta,Units,2010=100,110.34,111.62,113.45,114.18,115.89,...
,Martinique,Units,2010=100,106.65,...,...,...,...,...
,"Mauritania, Islamic Rep. of",Units,2010=100,128.06,131.98,135.02,138.24,143.17,156.81
,Mauritius,Units,2010=100,125.36,129.39,129.91,133.27,138.64,153.57
,Mexico,Units,2010=100,130.20,136.58,141.54,146.35,154.68,166.89
,"Micronesia, Federated States of",Units,2010=100,112.16,113.84,116.03,116.68,120.40,126.91
,"Moldova, Rep. of",Units,2010=100,153.84,158.53,166.20,172.46,181.26,233.35
,Mongolia,Units,2010=100,170.78,182.44,195.76,203.19,218.13,...
,Montenegro,Units,2010=100,113.36,116.32,116.74,116.44,119.25,134.80
,Montserrat,Units,2010=100,108.90,110.33,109.15,107.08,108.87,...
,Morocco,Units,2010=100,108.77,110.73,111.07,111.85,113.42,120.97
,"Mozambique, Rep. of",Units,2010=100,170.70,177.38,182.31,188.04,198.74,...
,Myanmar,Units,2010=100,144.61,154.54,168.18,...,...,...
,Namibia,Units,2010=100,146.03,152.30,157.97,161.46,167.30,177.47
,Nepal,Units,2010=100,171.80,178.77,188.73,198.27,206.37,...
,"Netherlands, The",Units,2010=100,111.04,112.93,115.91,117.38,120.52,132.58
,New Zealand,Units,2010=100,110.65,112.42,114.24,116.20,120.78,129.44
,Nicaragua,Units,2010=100,147.16,154.44,162.74,168.73,177.05,195.52
,Niger,Units,2010=100,108.88,112.12,109.32,112.49,116.81,121.75
,Nigeria,Units,2010=100,214.23,240.14,267.51,302.94,354.30,...
,"North Macedonia, Republic of",Units,2010=100,110.92,112.53,113.40,114.76,118.46,135.29
,Norway,Units,2010=100,114.55,117.72,120.27,121.82,126.06,133.33
,Oman,Units,2010=100,112.39,113.38,113.53,112.50,114.24,117.46
,Pakistan,Units,2010=100,156.91,164.88,182.32,200.08,219.08,262.62
,"Palau, Rep. of",Units,2010=100,118.33,120.83,121.15,121.41,124.58,139.97
,Panama,Units,2010=100,121.58,122.50,122.07,120.18,122.13,125.62
,Papua New Guinea,Units,2010=100,143.73,150.02,155.91,163.51,170.84,...
,Paraguay,Units,2010=100,134.61,139.96,143.82,146.36,153.37,168.35
,Peru,Units,2010=100,125.53,127.42,130.29,132.90,138.58,150.12
,Philippines,Units,2010=100,120.21,126.59,129.62,132.72,137.94,...
,"Poland, Rep. of",Units,2010=100,109.64,111.63,114.11,117.96,123.93,141.81
,Portugal,Units,2010=100,109.17,110.25,110.62,110.61,112.01,120.78
,Qatar,Units,2010=100,115.86,116.16,115.38,112.45,115.04,120.79
,Romania,Units,2010=100,113.95,119.22,123.78,127.04,133.46,151.87
,Russian Federation,Units,2010=100,168.18,173.02,180.75,186.86,199.37,...
,Rwanda,Units,2010=100,146.63,146.17,151.07,165.95,165.30,194.54
,Samoa,Units,2010=100,111.72,116.41,117.56,115.71,119.34,132.42
,"San Marino, Rep. of",Units,2010=100,110.63,...,...,...,...,...
,"São Tomé and Príncipe, Dem. Rep. of",Units,2010=100,171.61,185.09,...,...,...,...
,Saudi Arabia,Units,2010=100,118.03,120.93,118.40,122.48,126.23,129.35
,Senegal,Units,2010=100,106.87,107.36,109.25,112.03,...,...
,"Serbia, Rep. of",Units,2010=100,138.67,141.38,144.00,146.27,152.24,170.48
,Seychelles,Units,2010=100,123.09,127.65,130.30,141.09,...,...
,Sierra Leone,Units,2010=100,175.79,203.96,234.16,265.65,297.19,378.05
,Singapore,Units,2010=100,113.27,113.76,114.41,114.20,116.83,123.98
,"Sint Maarten, Kingdom of the Netherlands",Units,2010=100,116.64,...,...,...,...,...
,Slovak Rep.,Units,2010=100,109.59,112.35,115.34,117.57,121.28,136.77
,"Slovenia, Rep. of",Units,2010=100,107.40,109.27,111.05,110.99,113.12,123.11
,Solomon Islands,Units,2010=100,126.54,130.92,133.06,137.01,136.85,...
,South Africa,Units,2010=100,146.05,152.65,158.94,164.04,171.60,183.68
,"South Sudan, Rep. of",Units,2010=100,"4,583.71","8,411.17","15,749.19","20,422.89","22,570.71",...
,Spain,Units,2010=100,108.38,110.19,110.96,110.60,114.02,123.59
,Sri Lanka,Units,2010=100,147.09,150.23,155.53,165.10,176.68,...
,St. Kitts and Nevis,Units,2010=100,105.66,104.57,104.22,103.00,104.24,107.02
,St. Lucia,Units,2010=100,108.03,110.13,110.72,108.78,111.40,118.50
,St. Vincent and the Grenadines,Units,2010=100,107.17,109.67,110.67,109.97,111.70,118.02
,Sudan,Units,2010=100,545.17,890.23,"1,344.19","3,364.82","16,245.89",...
,Suriname,Units,2010=100,263.97,...,294.68,397.50,632.49,964.21
,Sweden,Units,2010=100,106.49,108.57,110.51,111.06,113.46,122.96
,Switzerland,Units,2010=100,98.27,99.19,99.55,98.82,99.40,102.22
,"Tanzania, United Rep. of",Units,2010=100,175.04,181.15,187.43,193.60,200.74,209.48
,Thailand,Units,2010=100,111.29,112.47,113.27,112.31,113.69,120.60
,"Timor-Leste, Dem. Rep. of",Units,2010=100,141.58,144.83,146.22,...,...,...
,Togo,Units,2010=100,111.50,112.54,113.31,115.38,...,...
,Tonga,Units,2010=100,121.18,127.28,128.78,128.33,135.57,150.44
,Trinidad and Tobago,Units,2010=100,140.32,141.75,143.17,144.03,147.00,...
,Tunisia,Units,2010=100,135.63,145.54,155.33,164.08,173.44,187.85
,"Türkiye, Rep of",Units,2010=100,174.97,203.55,234.44,263.22,314.81,542.44
,Uganda,Units,2010=100,166.78,171.14,176.05,181.88,185.89,199.27
,Ukraine,Units,2010=100,235.30,261.07,281.66,289.35,316.45,380.32
,United Arab Emirates,Units,2010=100,113.30,116.78,114.52,112.14,112.13,117.54
,United Kingdom,Units,2010=100,114.94,117.58,119.62,120.81,123.85,133.66
,United States,Units,2010=100,112.41,115.16,117.24,118.69,124.27,134.21
,Uruguay,Units,2010=100,174.80,188.10,202.92,222.72,239.98,261.82
,"Uzbekistan, Rep. of",Units,2010=100,210.82,247.77,283.76,320.27,355.02,395.66
,Vanuatu,Units,2010=100,111.38,113.98,117.13,123.37,126.26,...
,Vietnam,Units,2010=100,153.63,159.07,163.52,168.78,171.88,177.31
,West Bank and Gaza,Units,2010=100,110.98,110.77,112.52,111.69,113.07,...
,Zambia,Units,2010=100,180.95,194.51,212.31,245.71,299.82,332.78
,Zimbabwe,Units,2010=100,105.51,116.71,414.68,"2,725.31","5,411.00","11,076.60"
